Time	AutoCorrelation

0.000000	2.028218
0.100000	2.008073
0.200000	1.978310
0.300000	1.946546
0.400000	1.914784
0.500000	1.883400
0.600000	1.852463
0.700000	1.821981
0.800000	1.792048
0.900000	1.762590
1.000000	1.733545
1.100000	1.704950
1.200000	1.676725
1.300000	1.648842
1.400000	1.621412
1.500000	1.594405
1.600000	1.567923
1.700000	1.541941
1.800000	1.516401
1.900000	1.491313
2.000000	1.466715
2.100000	1.442571
2.200000	1.418922
2.300000	1.395698
2.400000	1.372886
2.500000	1.350410
2.600000	1.328219
2.700000	1.306293
2.800000	1.284690
2.900000	1.263313
3.000000	1.242154
3.100000	1.221338
3.200000	1.200854
3.300000	1.180661
3.400000	1.160768
3.500000	1.141140
3.600000	1.121797
3.700000	1.102718
3.800000	1.084031
3.900000	1.065701
4.000000	1.047664
4.100000	1.029916
4.200000	1.012437
4.300000	0.995251
4.400000	0.978364
4.500000	0.961865
4.600000	0.945640
4.700000	0.929615
4.800000	0.913844
4.900000	0.898310
5.000000	0.882881
5.100000	0.867644
5.200000	0.852690
5.300000	0.838011
5.400000	0.823673
5.500000	0.809584
5.600000	0.795805
5.700000	0.782307
5.800000	0.769102
5.900000	0.756185
6.000000	0.743568
6.100000	0.731094
6.200000	0.718856
6.300000	0.706866
6.400000	0.695096
6.500000	0.683565
6.600000	0.672235
6.700000	0.661070
6.800000	0.650047
6.900000	0.639145
7.000000	0.628429
7.100000	0.617867
7.200000	0.607524
7.300000	0.597409
7.400000	0.587406
7.500000	0.577566
7.600000	0.567917
7.700000	0.558456
7.800000	0.549245
7.900000	0.540153
8.000000	0.531175
8.100000	0.522395
8.200000	0.513825
8.300000	0.505377
8.400000	0.496980
8.500000	0.488700
8.600000	0.480569
8.700000	0.472587
8.800000	0.464871
8.900000	0.457307
9.000000	0.449884
9.100000	0.442595
9.200000	0.435452
9.300000	0.428432
9.400000	0.421510
9.500000	0.414600
9.600000	0.407695
9.700000	0.400862
9.800000	0.394218
9.900000	0.387779
10.000000	0.381534
10.100000	0.375359
10.200000	0.369262
10.300000	0.363203
10.400000	0.357283
10.500000	0.351510
10.600000	0.345861
10.700000	0.340344
10.800000	0.334928
10.900000	0.329577
11.000000	0.324231
11.100000	0.318979
11.200000	0.313799
11.300000	0.308763
11.400000	0.303876
11.500000	0.299119
11.600000	0.294493
11.700000	0.289951
11.800000	0.285498
11.900000	0.281082
12.000000	0.276744
12.100000	0.272429
12.200000	0.268146
12.300000	0.263975
12.400000	0.259886
12.500000	0.255828
12.600000	0.251840
12.700000	0.247933
12.800000	0.244092
12.900000	0.240320
13.000000	0.236632
13.100000	0.232958
13.200000	0.229387
13.300000	0.226010
13.400000	0.222852
13.500000	0.219764
13.600000	0.216751
13.700000	0.213843
13.800000	0.211049
13.900000	0.208378
14.000000	0.205738
14.100000	0.203185
14.200000	0.200695
14.300000	0.198240
14.400000	0.195829
14.500000	0.193470
14.600000	0.191092
14.700000	0.188706
14.800000	0.186299
14.900000	0.183865
15.000000	0.181414
15.100000	0.178949
15.200000	0.176493
15.300000	0.174036
15.400000	0.171561
15.500000	0.169151
15.600000	0.166858
15.700000	0.164638
15.800000	0.162473
15.900000	0.160384
16.000000	0.158370
16.100000	0.156387
16.200000	0.154397
16.300000	0.152396
16.400000	0.150422
16.500000	0.148446
16.600000	0.146413
16.700000	0.144355
16.800000	0.142312
16.900000	0.140212
17.000000	0.138095
17.100000	0.135904
17.200000	0.133644
17.300000	0.131347
17.400000	0.129035
17.500000	0.126740
17.600000	0.124456
17.700000	0.122210
17.800000	0.119963
17.900000	0.117681
18.000000	0.115427
18.100000	0.113222
18.200000	0.111102
18.300000	0.109091
18.400000	0.107128
18.500000	0.105173
18.600000	0.103318
18.700000	0.101456
18.800000	0.099632
18.900000	0.097887
19.000000	0.096228
19.100000	0.094580
19.200000	0.092882
19.300000	0.091130
19.400000	0.089478
19.500000	0.087940
19.600000	0.086434
19.700000	0.084974
19.800000	0.083521
19.900000	0.082062
20.000000	0.080641
20.100000	0.079274
20.200000	0.077869
20.300000	0.076422
20.400000	0.074957
20.500000	0.073538
20.600000	0.072169
20.700000	0.070850
20.800000	0.069578
20.900000	0.068309
21.000000	0.067055
21.100000	0.065776
21.200000	0.064548
21.300000	0.063351
21.400000	0.062254
21.500000	0.061240
21.600000	0.060268
21.700000	0.059280
21.800000	0.058307
21.900000	0.057320
