Time	AutoCorrelation

0.000000	1.007376
0.100000	1.002362
0.200000	0.994876
0.300000	0.986825
0.400000	0.978680
0.500000	0.970581
0.600000	0.962548
0.700000	0.954576
0.800000	0.946681
0.900000	0.938854
1.000000	0.931092
1.100000	0.923402
1.200000	0.915777
1.300000	0.908207
1.400000	0.900698
1.500000	0.893250
1.600000	0.885884
1.700000	0.878585
1.800000	0.871346
1.900000	0.864157
2.000000	0.857018
2.100000	0.849936
2.200000	0.842944
2.300000	0.836021
2.400000	0.829169
2.500000	0.822390
2.600000	0.815671
2.700000	0.809017
2.800000	0.802425
2.900000	0.795885
3.000000	0.789384
3.100000	0.782928
3.200000	0.776510
3.300000	0.770130
3.400000	0.763785
3.500000	0.757495
3.600000	0.751256
3.700000	0.745058
3.800000	0.738934
3.900000	0.732878
4.000000	0.726885
4.100000	0.720944
4.200000	0.715049
4.300000	0.709199
4.400000	0.703380
4.500000	0.697602
4.600000	0.691865
4.700000	0.686156
4.800000	0.680488
4.900000	0.674872
5.000000	0.669285
5.100000	0.663733
5.200000	0.658230
5.300000	0.652776
5.400000	0.647372
5.500000	0.642019
5.600000	0.636712
5.700000	0.631450
5.800000	0.626225
5.900000	0.621039
6.000000	0.615899
6.100000	0.610798
6.200000	0.605748
6.300000	0.600749
6.400000	0.595790
6.500000	0.590865
6.600000	0.585980
6.700000	0.581141
6.800000	0.576347
6.900000	0.571584
7.000000	0.566857
7.100000	0.562175
7.200000	0.557561
7.300000	0.553002
7.400000	0.548490
7.500000	0.544024
7.600000	0.539595
7.700000	0.535218
7.800000	0.530890
7.900000	0.526598
8.000000	0.522336
8.100000	0.518111
8.200000	0.513922
8.300000	0.509775
8.400000	0.505658
8.500000	0.501575
8.600000	0.497512
8.700000	0.493479
8.800000	0.489489
8.900000	0.485526
9.000000	0.481595
9.100000	0.477679
9.200000	0.473793
9.300000	0.469922
9.400000	0.466063
9.500000	0.462214
9.600000	0.458370
9.700000	0.454546
9.800000	0.450760
9.900000	0.447008
10.000000	0.443290
10.100000	0.439594
10.200000	0.435942
10.300000	0.432325
10.400000	0.428767
10.500000	0.425255
10.600000	0.421786
10.700000	0.418342
10.800000	0.414920
10.900000	0.411525
11.000000	0.408156
11.100000	0.404812
11.200000	0.401499
11.300000	0.398222
11.400000	0.394956
11.500000	0.391712
11.600000	0.388485
11.700000	0.385274
11.800000	0.382099
11.900000	0.378947
12.000000	0.375814
12.100000	0.372685
12.200000	0.369564
12.300000	0.366461
12.400000	0.363389
12.500000	0.360337
12.600000	0.357311
12.700000	0.354317
12.800000	0.351358
12.900000	0.348433
13.000000	0.345549
13.100000	0.342701
13.200000	0.339869
13.300000	0.337062
13.400000	0.334297
